CODIGOS POSTALES
----------------

PROVINCIA;POBLACION;CODIGOPOSTAL
; -> DELIMITADOR DE CAMPO

----------------------
ALAVA;ABERASTURI;01193
ALAVA;ABETXUKO;01013
ALAVA;ABEZIA;01449
ALAVA;ABORNIKANO;01449
ALAVA;ACEBEDO;01427
ALAVA;ACILU;01193
ALAVA;ACOSTA;01138
ALAVA;ADANA;01207
ALAVA;AGI—IGA;01479
ALAVA;AGURAIN;01200
ALAVA;AIARA;01476
ALAVA;ALAIZA;01207
ALAVA;ALANGUA;01207
ALAVA;ALBENIZ;01208
ALAVA;ALCEDO;01423
ALAVA;ALDA;01117
ALAVA;ALEGRIA;01240
ALAVA;ALETXA;01129
ALAVA;ALI;01013
ALAVA;ALORIA;01468
ALAVA;ALTUBE;01139
ALAVA;AMARITA;01520
ALAVA;AMETZAGA;01208
ALAVA;AMETZAGA (ZUIA);01139
ALAVA;AMURRIO;01470
ALAVA;A—ANA-GESALTZA;01426
ALAVA;ANDA;01439
ALAVA;ANDAGOIA;01439
ALAVA;ANDOIN;01260
ALAVA;ANDOLLU;01193
ALAVA;A—ES;01477
ALAVA;ANGOSTINA;01118
ALAVA;ANTEZANA;01196
ALAVA;ANTEZANA DE LA RIBERA;01220
ALAVA;ANTO—ANA;01128
ALAVA;A—UA;01192
ALAVA;ANUCITA;01428
ALAVA;APELLANIZ;01129
ALAVA;APERREGI;01139
ALAVA;APINARIZ;01129
ALAVA;APODAKA;01138
ALAVA;APRIKANO;01439
ALAVA;ARAIA;01250
ALAVA;ARAMAIO;01169
ALAVA;ARANGIZ;01196
ALAVA;ARBIGANO;01420
ALAVA;ARBULO;01192
ALAVA;ARBURU;01092
ALAVA;AREATZA;01117
ALAVA;AREJOLA;01169
ALAVA;ARENAZA;01129
ALAVA;ARESPALDITZA;01476
ALAVA;ARETXABALETA;01194
ALAVA;ARGANDO—A;01193
ALAVA;ARGOMANIZ;01192
ALAVA;ARI—EZ;01195
ALAVA;ARINIZ;01195
ALAVA;ARKAIA;01193
ALAVA;ARKAUTE;01192
ALAVA;ARLUZEA;01216
ALAVA;ARMENTIA;01007
ALAVA;ARMI—ON;01220
ALAVA;ARRAIA-MAEZTU;01120
ALAVA;ARRAZUA-UBARRUNDIA;01520
ALAVA;ARREO;01426
ALAVA;ARRIAGA;01013
ALAVA;ARRIANO;01439
ALAVA;ARRIETA;01206
ALAVA;ARRIOLA;01208
ALAVA;ARRIZALA;01207
ALAVA;ARROIABE;01520
ALAVA;ARTATZA-AXKOETA;01428
ALAVA;ARTAZA FORONDA;01196
ALAVA;ARTAZA-ESCOTA;01428
ALAVA;ARTOMA—A;01468
ALAVA;ARTXUA;01439
ALAVA;ARTZINIEGA;01474
ALAVA;ARZUBIAGA;01520
ALAVA;ASKARTZA;01193
ALAVA;ASPARRENA;01250
ALAVA;ASPURU/AXPURU;01208
ALAVA;ASSA;01308
ALAVA;ASTEGIETA;01191
ALAVA;ASTULEZ;01426
ALAVA;ATAURI;01128
ALAVA;ATIAGA;01423
ALAVA;ATIEGA;01423
ALAVA;AUDIKANA;01206
ALAVA;AXPURU;01208
ALAVA;AYALA;01476
ALAVA;AZAZETA;01128
ALAVA;AZILU;01240
ALAVA;AZKOAGA;01169
ALAVA;BACHICABO;01423
ALAVA;BA—OS DE EBRO;01307
ALAVA;BARAJUEN;01169
ALAVA;BARANBIO;01450
ALAVA;BAROJA;01211
ALAVA;BAROLA;01211
ALAVA;BARRIO;01423
ALAVA;BARRIOBUSTO;01322
ALAVA;BARRON;01428
ALAVA;BARRUNDIA;01206
ALAVA;BASABE;01427
ALAVA;BASQUI—UELAS;01420
ALAVA;BASTIDA;01330
ALAVA;BELLOJIN;01423
ALAVA;BELUNTZA;01449
ALAVA;BENASPERI;01308
ALAVA;BEOTEGI;01477
ALAVA;BERANTEVILLA;01211
ALAVA;BERGANZO;01212
ALAVA;BERGONDA;01423
ALAVA;BERGöENDA;01423
ALAVA;BERNEDO;01118
ALAVA;BERRIKANO;01138
ALAVA;BERROSTEGIETA;01194
ALAVA;BERROZI;01128
ALAVA;BETOLAZA;01510
ALAVA;BETO—O;01013
ALAVA;BIASTERI;01300
ALAVA;BIKU—A;01207
ALAVA;BILAR;01309
ALAVA;BILODA;01195
ALAVA;BIRGARA BARREN;01129
ALAVA;BIRGARA GOIEN;01129
ALAVA;BITORIANO;01139
ALAVA;BOLIBAR;01194
ALAVA;BOVEDA;01427
ALAVA;BUJANDA;01128
ALAVA;BURADON GATZAGA;01212
ALAVA;BURGELU;01240
ALAVA;BURUAGA;01138
ALAVA;BUXANDA;01118
ALAVA;CAICEDO DE YUSO;01213
ALAVA;CAICEDO-SOPE—A;01420
ALAVA;CAMPEZO;01110
ALAVA;CAMPIJO;01478
ALAVA;CAMPILLAR (EL);01308
ALAVA;CARANCA;01426
ALAVA;CARCAMO;01426
ALAVA;CASTILLO;01194
ALAVA;CASTILLO-SOPE—A;01420
ALAVA;CICUJANO;01129
ALAVA;COMUNION;01213
ALAVA;CORRO;01427
ALAVA;COSTERA;01477
ALAVA;CRIPAN;01308
ALAVA;CRISPIJANA;01195
ALAVA;DALLO;01206
ALAVA;DELIKA;01468
ALAVA;DOMAIKIA;01139
ALAVA;DONE BIKENDI HARANA;01117
ALAVA;DONEMILIAGA;01208
ALAVA;DULANTZI;01240
ALAVA;DURANA;01520
ALAVA;DURRUMA DONEMILIAGA;01207
ALAVA;DURRUMA KANPEZU;01008
ALAVA;EGILATZ;01207
ALAVA;EGILEOR;01207
ALAVA;EGINO;01260
ALAVA;EGUILAZ;01207
ALAVA;EGUILETA;01193
ALAVA;EHARI;01010
